22937	59.86	60.104	60.273	60.393	60.432	60.443	60.43	60.413	60.406	60.389	60.362	60.304	60.212	60.091	59.916	59.7	59.421	59.126	58.844	58.546
22926	59.859	60.11	60.285	60.382	60.433	60.44	60.43	60.42	60.41	60.394	60.359	60.306	60.219	60.098	59.923	59.693	59.433	59.136	58.833	58.557
22916	59.863	60.109	60.282	60.387	60.436	60.446	60.433	60.418	60.412	60.402	60.358	60.309	60.224	60.095	59.919	59.7	59.433	59.134	58.837	58.553
22905	59.873	60.12	60.3	60.387	60.434	60.449	60.445	60.429	60.405	60.399	60.37	60.313	60.228	60.103	59.92	59.697	59.437	59.141	58.835	58.547
22895	59.87	60.12	60.29	60.386	60.44	60.445	60.446	60.433	60.418	60.401	60.371	60.314	60.226	60.104	59.936	59.707	59.44	59.149	58.849	58.563
22884	59.878	60.116	60.295	60.399	60.442	60.447	60.445	60.434	60.413	60.398	60.376	60.322	60.23	60.106	59.934	59.714	59.437	59.149	58.84	58.558
22874	59.874	60.124	60.295	60.399	60.44	60.451	60.448	60.428	60.424	60.407	60.379	60.323	60.239	60.1	59.932	59.714	59.445	59.158	58.849	58.562
22863	59.871	60.125	60.298	60.403	60.446	60.458	60.449	60.436	60.423	60.402	60.383	60.327	60.234	60.113	59.935	59.718	59.452	59.157	58.852	58.586
22853	59.874	60.124	60.306	60.399	60.448	60.456	60.451	60.44	60.426	60.414	60.38	60.332	60.237	60.112	59.937	59.727	59.445	59.156	58.857	58.569
22842	59.88	60.134	60.311	60.414	60.453	60.461	60.454	60.45	60.432	60.418	60.386	60.337	60.239	60.108	59.943	59.722	59.454	59.161	58.86	58.571
22832	59.884	60.135	60.311	60.412	60.45	60.462	60.451	60.45	60.443	60.41	60.388	60.336	60.249	60.114	59.947	59.717	59.457	59.165	58.863	58.576
22822	59.889	60.137	60.31	60.41	60.46	60.462	60.462	60.446	60.435	60.42	60.391	60.34	60.253	60.124	59.945	59.727	59.464	59.172	58.874	58.578
22811	59.896	60.134	60.315	60.414	60.462	60.468	60.463	60.451	60.433	60.422	60.392	60.341	60.245	60.129	59.952	59.733	59.46	59.162	58.86	58.583
22801	59.892	60.138	60.315	60.422	60.459	60.474	60.464	60.449	60.433	60.426	60.394	60.334	60.259	60.126	59.954	59.734	59.473	59.175	58.867	58.586
22790	59.904	60.142	60.318	60.425	60.459	60.483	60.468	60.455	60.445	60.427	60.391	60.345	60.263	60.129	59.962	59.737	59.461	59.18	58.867	58.596
22780	59.897	60.147	60.327	60.418	60.47	60.483	60.472	60.46	60.445	60.43	60.405	60.348	60.259	60.135	59.963	59.74	59.47	59.189	58.874	58.602
